Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Interconnection Request Receive Date,Interconnection Agreement Status,Study Process,Proposed On-line Date (as filed with IR),System Impact Study or Phase I Cluster Study,Facilities Study (FAS) or Phase II Cluster Study,Optional Study (OS),"Full Capacity, Partial or Energy Only (FC/P/EO)",Off-Peak Deliverability and Economic Only,Feasibility Study or Supplemental Review
22,MONTEZUMA (HIGH WINDS III),,SOLANO,CA,Birds Landing 230 kV,PGAE,Wind Turbine + Storage,38.0,,,2003-11-18 08:00:00,ACTIVE,2024-04-01 07:00:00,,,,Wind Turbine,Storage,,Wind Turbine,Battery,,38.0,38.0,,2003-11-18 00:00:00,Executed,AMEND 39,2005-06-30 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,
32,TULE WIND,,SAN DIEGO,CA,Boulevard East Substation 138 kV,SDGE,Wind Turbine + Storage,193.8,,,2004-05-24 07:00:00,ACTIVE,2030-10-31 07:00:00,,,,Wind Turbine,Storage,,Wind Turbine,Battery,,127.6,131.6,,2004-05-12 00:00:00,Executed,Serial LGIP,2007-09-01 07:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,Waived
54,MIDWAY PEAKING,,FRESNO,CA,Panoche Substation,PGAE,Gas Turbine + Storage,119.9,,,2005-01-12 08:00:00,ACTIVE,2027-06-30 07:00:00,,,,Gas Turbine,Storage,,Natural Gas,Battery,,119.9,119.9,,2005-01-12 00:00:00,Executed,Serial LGIP,2008-06-01 07:00:00,Complete,Re-Study,,Full Capacity,Off-Peak Deliverability,Waived
61,FRESNO COGENERATION EXPANSION PROJECT,,FRESNO,CA,Helm-Kerman 70 kV Line,PGAE,Steam Turbine + Storage,73.27,,,2005-03-30 08:00:00,ACTIVE,2023-02-28 08:00:00,,,,Steam Turbine,Storage,,Natural Gas,Battery,,73.2699966430664,18.5,,2005-03-28 00:00:00,Executed,AMEND 39,2006-05-31 07:00:00,Complete,Complete,,Full Capacity,Off-Peak Deliverability,
72,LAKE ELSINORE ADVANCED PUMPED STORAGE PROJECT,,RIVERSIDE,CA,Proposed Lee Lake Substation 500 kV,SDGE,Storage,500.0,,,2005-06-21 07:00:00,ACTIVE,2028-12-31 08:00:00,,,,Storage,,,Pumped-Storage hydro,,,500.0,,,2005-04-26 00:00:00,Executed,Serial LGIP,2008-12-31 08:00:00,Complete,Re-Study,,Full Capacity,,Waived
81,BOTTLE ROCK POWER,,LAKE,CA,Geysers #17-Fulton 230 kV Line,PGAE,Steam Turbine + Storage,52.01,,,2005-09-13 07:00:00,ACTIVE,2027-11-30 08:00:00,,,,Steam Turbine,Storage,,Geothermal,Battery,,9.435,47.4465,,2005-09-13 00:00:00,Executed,Serial LGIP,2006-09-01 07:00:00,Complete,Complete,,Energy Only,Off-Peak Deliverability,
96,CPC WEST,,KERN,CA,Tehachapi Conceptual Substation #1,SCE,Wind Turbine + Storage + Storage,600.0,,,2006-03-01 08:00:00,ACTIVE,2026-07-05 07:00:00,,,,Wind Turbine,Storage,Storage,Wind Turbine,Battery,Battery,600.0,150.0,150.0,2006-02-15 00:00:00,Executed,Serial LGIP,2009-12-31 08:00:00,Complete,,,Partial Capacity,Off-Peak Deliverability,Waived
100,WINDSTAR I ALTERNATE,,KERN,CA,Vincent Substation 230kV,SCE,Wind Turbine + Storage,120.0,,,2006-04-05 07:00:00,ACTIVE,2030-10-15 07:00:00,,,,Wind Turbine,Storage,,Wind Turbine,Battery,,120.0,120.0,,2006-04-05 00:00:00,Executed,Serial LGIP,2007-12-31 08:00:00,Complete,,,Full Capacity,Off-Peak Deliverability,Waived
124,SILVER RIDGE MOUNT SIGNAL,,IMPERIAL,CA,Imperial Valley Substation 230 kV,SDGE,Photovoltaic + Storage,600.0,,,2006-08-22 07:00:00,ACTIVE,2027-06-01 07:00:00,,,,Photovoltaic,Storage,,Solar,Battery,,600.0,150.0,,2006-08-22 00:00:00,Executed,Serial LGIP,2011-03-01 08:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,Waived
138,SANDSTORM WIND POWER ,,RIVERSIDE,CA,Devers Substation 220 kV ,SCE,Wind Turbine + Storage,150.0,,,2006-10-23 07:00:00,ACTIVE,2030-02-01 08:00:00,,,,Wind Turbine,Storage,,Wind Turbine,Battery,,60.0,90.0,,2006-10-23 00:00:00,Executed,Serial LGIP,2008-12-31 08:00:00,Complete,Complete,,Partial Capacity,Off-Peak Deliverability,Waived
