Data Extracted from EPA's FLIGHT Tool (http://ghgdata.epa.gov/ghgp),,,,,,,,,,,,
The data was reported to EPA by facilities as of 08/16/2024,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4,,,,,,,,,,,,
Search Parameters: year=2023; GHGs=ALL; data type=All Direct Emitters; ,,,,,,,,,,,,
,,,,,,,,,,,,
REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2023,3M MAGNETIC TAPE MANUFACTURING DIVISION,1004914,905-915 ADAMS STREET SOUTHEAST,44.879677,-94.359598,HUTCHINSON,MCLEOD COUNTY,MN,55350,3M CO (100%),53953,C
2023,3M NEVADA PLANT,1004804,2120 E. AUSTIN,37.834476,-94.330625,NEVADA,VERNON COUNTY,MO,64772,3M CO (100%),31394,C
2023,ABERDEEN ENERGY LLC,1005353,13435 370TH AVENUE,45.442417,-98.787139,MINA,EDMUNDS COUNTY,SD,57451,GLACIAL LAKES CORN PROCESSORS (100%),197928,C
2023,ABSOLUTE ENERGY LLC,1002627,1372 STATELINE ROAD,43.49951,-92.91709,ST ANSGAR (MONA),MITCHELL COUNTY,IA,50472,ABSOLUTE ENERGY LLC (100%),151261,C
2023,ACE ETHANOL LLC,1004761,815 WEST MAPLE STREET,44.9589,-90.9608,STANLEY,CHIPPEWA COUNTY,WI,54768,ACE ETHANOL LLC (100%),80642,"C,PP"
2023,ADKINS ENERGY LLC,1003422,4350 WEST GALENA ROAD,42.3586,-89.80342,LENA,STEPHENSON COUNTY,IL,61048,ADKINS ENERGY LLC (100%),89423,C
2023,ADM - MANKATO,1002154,2019 3RD AVENUE,44.186805,-93.995493,MANKATO,BLUE EARTH COUNTY,MN,56001,ARCHER DANIELS MIDLAND CO (100%),80347,C
2023,ADM CORN PROCESSING,1006047,1350 WACONIA AVENUE SOUTHWEST,41.9192,-91.6862,CEDAR RAPIDS,LINN COUNTY,IA,52404,ARCHER DANIELS MIDLAND CO (100%),2745001,"C,II"
2023,ADM CORN PROCESSING,1006208,1251 BEAVER CHANNEL PARKWAY,41.8196,-90.2122,CLINTON,CLINTON COUNTY,IA,52732,ARCHER DANIELS MIDLAND CO (100%),1945617,"C,TT"
2023,ADM Deerfield,1010610,17700 South Highway T,37.80725,-94.585301,Deerfield,VERNON COUNTY,MO,64741,ARCHER DANIELS MIDLAND CO (100%),40707,C
2023,ADM Fostoria,1011855,608 FINDLAY ROAD,41.1494,-83.43295,Fostoria,HANCOCK COUNTY,OH,44830,ARCHER DANIELS MIDLAND CO (100%),29827,C
2023,ADM QUINCY,1000376,2100 GARDNER EXPRESSWAY,39.903884,-91.410552,QUINCY,ADAMS COUNTY,IL,62305,ARCHER DANIELS MIDLAND CO (100%),112816,C
2023,ADM SOUTHERN CELLULOSE PROD.IN,1006080,103 W 45TH ST,34.997921,-85.318581,CHATTANOOGA,HAMILTON COUNTY,TN,37410,ARCHER DANIELS MIDLAND CO (100%),18140,C
2023,ADM SOYBEAN PROCESSING - DES MOINES,1000034,1935 EAST EUCLID AVENUE,41.626329,-93.583205,DES MOINES,POLK COUNTY,IA,50313,ARCHER DANIELS MIDLAND CO (100%),108458,C
2023,ADM Valdosta,1011961,1841 Clay Road,30.8325,-83.248056,Valdosta,LOWNDES COUNTY,GA,31601,ARCHER DANIELS MIDLAND CO (100%),62577,C
2023,ADVANSIX INC - CHESTERFIELD PLANT,1000627,4101 BERMUDA HUNDRED RD,37.336111,-77.2825,CHESTER,CHESTERFIELD COUNTY,VA,23836,ADVANSIX INC (100%),60212,C
2023,ADVANSIX INCORPORATED - HOPEWELL,1000630,905 EAST RANDOLPH ROAD,37.1815,-77.1621,HOPEWELL,HOPEWELL CITY,VA,23860,ADVANSIX INC (100%),1227774,"C,G,PP"
2023,AG PROCESSING INC,1002069,4739 380TH ST,43.10102,-94.65419,EMMETSBURG,PALO ALTO COUNTY,IA,50536,AG PROCESSING INC A COOPERATIVE (100%),23462,C
2023,AG PROCESSING INC-EAGLE GROVE,1006054,500 NORTH COMMERCIAL AVENUE,42.669167,-93.904444,EAGLE GROVE,WRIGHT COUNTY,IA,50533,AG PROCESSING INC A COOPERATIVE (100%),70515,C
2023,AG PROCESSING INC-SHELDON,1002408,804 2ND AVE,43.182248,-95.856177,SHELDON,O'BRIEN COUNTY,IA,51201,AG PROCESSING INC A COOPERATIVE (100%),27848,C
2023,AG PROCESSING INCORPORATED A COOPERATIVE,1002291,800 DIAGONAL STREET,44.93265,-96.056491,DAWSON,LAC QUI PARLE COUNTY,MN,56232,AG PROCESSING INC A COOPERATIVE (100%),38892,C
2023,AGP SOY/CORN PROCESSING,1002067,2801 E 7TH ST,40.58971,-98.33974,HASTINGS,ADAMS COUNTY,NE,68901,AG PROCESSING INC A COOPERATIVE (100%),179938,C
2023,AGRIUM US BORGER NITROGEN OPERATIONS,1002380,9201 FM 1551,35.6411,-101.4203,BORGER,HUTCHINSON COUNTY,TX,79007,AGRIUM US INC (100%),736028,"C,G,PP"
2023,AHN Heartland Ingredients,1001919,1116 Highway 137,41.14375,-92.647694,EDDYVILLE,MONROE COUNTY,IA,52553,AJINOMOTO HEALTH & NUTRITION NORTH AMERICA INC (100%),104073,C
2023,"AIR LIQUID LARGE INDUSTRIES US, LP",1006430,324 W EL SEGUNDO BLVD,33.905833,-118.401944,EL SEGUNDO,LOS ANGELES COUNTY,CA,90245,AMERICAN AIR LIQUIDE HOLDINGS INC (100%),617757,P
2023,AIR LIQUIDE - CORPUS CHRISTI SMR,1003724,5880 UP RIVER ROAD,27.813911,-97.472347,CORPUS CHRISTI,NUECES COUNTY,TX,78407,AMERICAN AIR LIQUIDE HOLDINGS INC (100%),342879,P
2023,AIR LIQUIDE - FREEPORT HYCO PLANT,1003730,2398 VICTORIA ROAD,28.98037,-95.38396,FREEPORT,BRAZORIA COUNTY,TX,77541,AMERICAN AIR LIQUIDE HOLDINGS INC (100%),175600,"C,P"
2023,AIR LIQUIDE AMERICA CORP,1003910,2292 Callahan Rd,32.4478,-94.6875,LONGVIEW,HARRISON COUNTY,TX,75602,AMERICAN AIR LIQUIDE HOLDINGS INC (100%),481525,P
2023,AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT,1003748,1391 SAN PABLO AVE,38.047952,-122.256895,RODEO,CONTRA COSTA COUNTY,CA,94572,AMERICAN AIR LIQUIDE HOLDINGS INC (100%),821122,P
2023,AIR PRODUCTS & CHEMICAL INC - LAKE CHARLES FACILITY,1003013,102 TROUSDALE RD,30.237363,-93.285908,WESTLAKE,CALCASIEU PARISH,LA,70669,AIR PRODUCTS & CHEMICALS INC (100%),794369,P
2023,AIR PRODUCTS & CHEMICALS INC - Geismar SMR,1002698,8013 HWY 3251,30.18379,-90.98836,GEISMAR,ASCENSION PARISH,LA,70734,AIR PRODUCTS & CHEMICALS INC (100%),55611,"P,PP"
2023,AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY,1003009,14700 INTRACOASTAL DRIVE,30.022255,-89.900984,NEW ORLEANS,ORLEANS PARISH,LA,70129,AIR PRODUCTS & CHEMICALS INC (100%),261745,P
2023,AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,1002121,110 WATERFRONT RD,38.032767,-122.07594,MARTINEZ,CONTRA COSTA COUNTY,CA,94553,AIR PRODUCTS & CHEMICALS INC (100%),609353,P
2023,"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",1002122,,38.026667,-122.067222,MARTINEZ,CONTRA COSTA COUNTY,CA,94553,AIR PRODUCTS & CHEMICALS INC (100%),34812,P
2023,AIR PRODUCTS AND CHEMICALS INC - CATLETTSBURG HYDROGEN PLANT,1005809,11631 US Route 23,38.37673,-82.60581,CATLETTSBURG,BOYD COUNTY,KY,41129,AIR PRODUCTS & CHEMICALS INC (100%),147006,P
2023,AIR PRODUCTS AND CHEMICALS INC - GARYVILLE,1002727,4663 W AIRLINE HWY,30.09959,-90.648851,GARYVILLE,ST. JOHN THE BAPTIST PARISH,LA,70051,AIR PRODUCTS & CHEMICALS INC (100%),987351,P
2023,AIR PRODUCTS AND CHEMICALS INCORPORATED,1002123,5025 83RD STREET,38.529722,-121.398889,SACRAMENTO,SACRAMENTO COUNTY,CA,95826,AIR PRODUCTS & CHEMICALS INC (100%),43250,P
2023,AIR PRODUCTS CARSON HYDROGEN PLANT,1002257,23300 SOUTH ALAMEDA STREET,33.812778,-118.231389,CARSON,LOS ANGELES COUNTY,CA,90810,AIR PRODUCTS & CHEMICALS INC (100%),657458,P
2023,AIR PRODUCTS TEXAS CITY FACILITY,1014807,,29.381111,-94.899672,Texas City,GALVESTON COUNTY,TX,77590,AIR PRODUCTS & CHEMICALS INC (100%),41289,P
2023,AIR PRODUCTS WILMINGTON HYDROGEN PLANT,1002435,700 HENRY FORD AVENUE,33.780833,-118.241111,WILMINGTON,LOS ANGELES COUNTY,CA,90744,AIR PRODUCTS & CHEMICALS INC (100%),827474,P
2023,AL CORN CLEAN FUEL,1005149,797 5th Street,44.049412,-93.017379,CLAREMONT,DODGE COUNTY,MN,55924,AL-CORN CLEAN FUEL (100%),193607,C
2023,"ALABAMA RIVER CELLULOSE, LLC",1007917,2373 LENA LANDEGGER HWY,31.580112,-87.490073,PERDUE HILL,MONROE COUNTY,AL,36470,KOCH INDUSTRIES INC (100%),276543,"AA,C,TT"
2023,ALADDIN MILLS - ANTIOCH RD PLA NT,1007272,2001 ANTIOCH ROAD,34.73399,-84.94646,DALTON,WHITFIELD COUNTY,GA,30720,MOHAWK INDUSTRIES INC (100%),35443,C
2023,ALLEGANY BALLISTICS LABORATORY,1005862,210 STATE ROUTE 956,39.56097,-78.84361,KEYSER,MINERAL COUNTY,WV,26726,NORTHROP GRUMMAN CORP (100%),23245,C
